م | رقم صفحة المصدر | رقم الصفحة في الكتاب | القسم/الوحدة | عنوان الدرس/الموضوع | اسم الصورة الأصلي | اسم الصورة الجديد
86 | 86 | 85 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركة الوطنية والقضية الفلسطينية | PDF page 86 | ص085 - الحركة الوطنية والقضية الفلسطينية.jpg
87 | 87 | 86 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركة الوطنية والقضية الفلسطينية | PDF page 87 | ص086 - الحركة الوطنية والقضية الفلسطينية.jpg
88 | 88 | 87 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركة الوطنية والقضية الفلسطينية | PDF page 88 | ص087 - الحركة الوطنية والقضية الفلسطينية.jpg
89 | 89 | 88 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركة الوطنية والقضية الفلسطينية | PDF page 89 | ص088 - الحركة الوطنية والقضية الفلسطينية.jpg
90 | 90 | 89 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركة الوطنية والقضية الفلسطينية | PDF page 90 | ص089 - الحركة الوطنية والقضية الفلسطينية.jpg
91 | 91 | 90 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركة الوطنية والقضية الفلسطينية | PDF page 91 | ص090 - الحركة الوطنية والقضية الفلسطينية.jpg
92 | 92 | 91 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركة الوطنية والقضية الفلسطينية | PDF page 92 | ص091 - الحركة الوطنية والقضية الفلسطينية.jpg
93 | 93 | 92 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركة الوطنية والقضية الفلسطينية | PDF page 93 | ص092 - الحركة الوطنية والقضية الفلسطينية.jpg
94 | 94 | 93 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركة الوطنية والقضية الفلسطينية | PDF page 94 | ص093 - الحركة الوطنية والقضية الفلسطينية.jpg
95 | 95 | 94 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركة الوطنية والقضية الفلسطينية | PDF page 95 | ص094 - الحركة الوطنية والقضية الفلسطينية.jpg
96 | 96 | 95 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | تقويم الوحدة الخامسة | PDF page 96 | ص095 - تقويم الوحدة الخامسة.jpg
97 | 97 | 96 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | تقويم الوحدة الخامسة | PDF page 97 | ص096 - تقويم الوحدة الخامسة.jpg
98 | 98 | 97 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | تقويم الوحدة الخامسة | PDF page 98 | ص097 - تقويم الوحدة الخامسة.jpg
